Number of params: 2217831
Starting optimization with ADAM
Iteration 00000    Loss 0.090706   PSNR_noisy: 10.423646   PSRN_gt: 10.849667 PSNR_gt_sm: 10.849667 
Iteration 00001    Loss 0.077095   PSNR_noisy: 11.129728   PSRN_gt: 11.637038 PSNR_gt_sm: 10.865550 
Iteration 00002    Loss 0.053056   PSNR_noisy: 12.752691   PSRN_gt: 13.526323 PSNR_gt_sm: 10.897304 
Iteration 00003    Loss 0.055105   PSNR_noisy: 12.588081   PSRN_gt: 13.332011 PSNR_gt_sm: 10.934751 
Iteration 00004    Loss 0.036177   PSNR_noisy: 14.415719   PSRN_gt: 15.635115 PSNR_gt_sm: 10.991470 
Iteration 00005    Loss 0.036073   PSNR_noisy: 14.428203   PSRN_gt: 15.658082 PSNR_gt_sm: 11.057554 
Iteration 00006    Loss 0.032923   PSNR_noisy: 14.824994   PSRN_gt: 16.209514 PSNR_gt_sm: 11.132296 
Iteration 00007    Loss 0.034193   PSNR_noisy: 14.660653   PSRN_gt: 15.992949 PSNR_gt_sm: 11.211146 
Iteration 00008    Loss 0.034507   PSNR_noisy: 14.620880   PSRN_gt: 15.933470 PSNR_gt_sm: 11.289769 
Iteration 00009    Loss 0.033170   PSNR_noisy: 14.792582   PSRN_gt: 16.173947 PSNR_gt_sm: 11.369178 
Iteration 00010    Loss 0.032064   PSNR_noisy: 14.939851   PSRN_gt: 16.374611 PSNR_gt_sm: 11.445214 
Iteration 00011    Loss 0.031444   PSNR_noisy: 15.024655   PSRN_gt: 16.493410 PSNR_gt_sm: 11.518643 
Iteration 00012    Loss 0.030619   PSNR_noisy: 15.140072   PSRN_gt: 16.651799 PSNR_gt_sm: 11.589428 
Iteration 00013    Loss 0.029966   PSNR_noisy: 15.233720   PSRN_gt: 16.785267 PSNR_gt_sm: 11.658168 
Iteration 00014    Loss 0.029783   PSNR_noisy: 15.260284   PSRN_gt: 16.817626 PSNR_gt_sm: 11.723637 
Iteration 00015    Loss 0.029201   PSNR_noisy: 15.345972   PSRN_gt: 16.937436 PSNR_gt_sm: 11.786108 
Iteration 00016    Loss 0.028711   PSNR_noisy: 15.419478   PSRN_gt: 17.041682 PSNR_gt_sm: 11.847076 
Iteration 00017    Loss 0.029260   PSNR_noisy: 15.337253   PSRN_gt: 16.920713 PSNR_gt_sm: 11.906308 
Iteration 00018    Loss 0.028034   PSNR_noisy: 15.523188   PSRN_gt: 17.191407 PSNR_gt_sm: 11.966800 
Iteration 00019    Loss 0.028313   PSNR_noisy: 15.480094   PSRN_gt: 17.131842 PSNR_gt_sm: 12.028109 
Iteration 00020    Loss 0.027792   PSNR_noisy: 15.560857   PSRN_gt: 17.250185 PSNR_gt_sm: 12.091033 
Iteration 00021    Loss 0.027782   PSNR_noisy: 15.562301   PSRN_gt: 17.256012 PSNR_gt_sm: 12.154927 
