PSNR bicubic: 11.8722   PSNR nearest: 11.8722
Starting optimization with ADAM
Iteration 00000    PSNR_LR 7.156   PSNR_HR 6.926 
Iteration 00001    PSNR_LR 7.170   PSNR_HR 6.946 
Iteration 00002    PSNR_LR 7.187   PSNR_HR 6.949 
Iteration 00003    PSNR_LR 7.166   PSNR_HR 6.941 
Iteration 00004    PSNR_LR 7.162   PSNR_HR 6.936 
Iteration 00005    PSNR_LR 7.168   PSNR_HR 6.936 
Iteration 00006    PSNR_LR 7.193   PSNR_HR 6.952 
Iteration 00007    PSNR_LR 7.187   PSNR_HR 6.951 
Iteration 00008    PSNR_LR 7.186   PSNR_HR 6.956 
Iteration 00009    PSNR_LR 7.189   PSNR_HR 6.960 
Iteration 00010    PSNR_LR 7.193   PSNR_HR 6.954 
Iteration 00011    PSNR_LR 7.201   PSNR_HR 6.966 
Iteration 00012    PSNR_LR 7.189   PSNR_HR 6.964 
Iteration 00013    PSNR_LR 7.193   PSNR_HR 6.958 
Iteration 00014    PSNR_LR 7.229   PSNR_HR 6.980 
Iteration 00015    PSNR_LR 7.192   PSNR_HR 6.960 
Iteration 00016    PSNR_LR 7.192   PSNR_HR 6.962 
Iteration 00017    PSNR_LR 7.191   PSNR_HR 6.962 
Iteration 00018    PSNR_LR 7.213   PSNR_HR 6.980 
Iteration 00019    PSNR_LR 7.187   PSNR_HR 6.961 
Iteration 00020    PSNR_LR 7.225   PSNR_HR 6.982 
Iteration 00021    PSNR_LR 7.212   PSNR_HR 6.981 
Iteration 00022    PSNR_LR 7.228   PSNR_HR 6.990 
Iteration 00023    PSNR_LR 7.210   PSNR_HR 6.978 
Iteration 00024    PSNR_LR 7.228   PSNR_HR 6.984 
Iteration 00025    PSNR_LR 7.231   PSNR_HR 6.990 
Iteration 00026    PSNR_LR 7.235   PSNR_HR 6.994 
Iteration 00027    PSNR_LR 7.220   PSNR_HR 6.981 
Iteration 00028    PSNR_LR 7.240   PSNR_HR 6.999 
Iteration 00029    PSNR_LR 7.247   PSNR_HR 7.007 
Iteration 00030    PSNR_LR 7.212   PSNR_HR 6.981 
Iteration 00031    PSNR_LR 7.238   PSNR_HR 6.995 
Iteration 00032    PSNR_LR 7.251   PSNR_HR 7.002 
