HR and LR resolutions: (576, 384), (144, 96)
PSNR bicubic: 23.1048   PSNR nearest: 20.8212
Starting optimization with ADAM
Iteration 00000    PSNR_LR 12.085   PSNR_HR 11.662 
Iteration 00001    PSNR_LR 12.557   PSNR_HR 12.099 
Iteration 00002    PSNR_LR 12.811   PSNR_HR 12.333 
Iteration 00003    PSNR_LR 12.199   PSNR_HR 11.772 
Iteration 00004    PSNR_LR 14.000   PSNR_HR 13.390 
Iteration 00005    PSNR_LR 14.166   PSNR_HR 13.537 
Iteration 00006    PSNR_LR 14.258   PSNR_HR 13.620 
Iteration 00007    PSNR_LR 14.479   PSNR_HR 13.818 
Iteration 00008    PSNR_LR 14.770   PSNR_HR 14.074 
Iteration 00009    PSNR_LR 14.860   PSNR_HR 14.159 
Iteration 00010    PSNR_LR 14.836   PSNR_HR 14.144 
Iteration 00011    PSNR_LR 15.002   PSNR_HR 14.289 
Iteration 00012    PSNR_LR 15.148   PSNR_HR 14.410 
Iteration 00013    PSNR_LR 15.065   PSNR_HR 14.335 
Iteration 00014    PSNR_LR 15.331   PSNR_HR 14.566 
Iteration 00015    PSNR_LR 15.368   PSNR_HR 14.592 
Iteration 00016    PSNR_LR 15.406   PSNR_HR 14.622 
Iteration 00017    PSNR_LR 15.503   PSNR_HR 14.702 
Iteration 00018    PSNR_LR 15.537   PSNR_HR 14.727 
Iteration 00019    PSNR_LR 15.505   PSNR_HR 14.698 
Iteration 00020    PSNR_LR 15.592   PSNR_HR 14.771 
Iteration 00021    PSNR_LR 15.478   PSNR_HR 14.674 
Iteration 00022    PSNR_LR 15.659   PSNR_HR 14.826 
Iteration 00023    PSNR_LR 15.610   PSNR_HR 14.788 
Iteration 00024    PSNR_LR 15.651   PSNR_HR 14.820 
Iteration 00025    PSNR_LR 15.746   PSNR_HR 14.898 
Iteration 00026    PSNR_LR 15.744   PSNR_HR 14.895 
Iteration 00027    PSNR_LR 15.657   PSNR_HR 14.825 
Iteration 00028    PSNR_LR 15.805   PSNR_HR 14.948 
Iteration 00029    PSNR_LR 15.779   PSNR_HR 14.927 
Iteration 00030    PSNR_LR 15.721   PSNR_HR 14.884 
Iteration 00031    PSNR_LR 15.838   PSNR_HR 14.979 
Iteration 00032    PSNR_LR 15.822   PSNR_HR 14.965 
Iteration 00033    PSNR_LR 15.849   PSNR_HR 14.986 
Iteration 00034    PSNR_LR 15.896   PSNR_HR 15.021 
Iteration 00035    PSNR_LR 15.974   PSNR_HR 15.092 
Iteration 00036    PSNR_LR 15.902   PSNR_HR 15.031 
Iteration 00037    PSNR_LR 16.001   PSNR_HR 15.114 
Iteration 00038    PSNR_LR 16.069   PSNR_HR 15.166 
Iteration 00039    PSNR_LR 15.930   PSNR_HR 15.049 
Iteration 00040    PSNR_LR 16.132   PSNR_HR 15.216 
Iteration 00041    PSNR_LR 16.191   PSNR_HR 15.268 
Iteration 00042    PSNR_LR 16.047   PSNR_HR 15.147 
Iteration 00043    PSNR_LR 16.258   PSNR_HR 15.318 
Iteration 00044    PSNR_LR 16.254   PSNR_HR 15.315 
Iteration 00045    PSNR_LR 16.253   PSNR_HR 15.309 
Iteration 00046    PSNR_LR 16.377   PSNR_HR 15.412 
Iteration 00047    PSNR_LR 16.394   PSNR_HR 15.431 
Iteration 00048    PSNR_LR 16.547   PSNR_HR 15.551 
Iteration 00049    PSNR_LR 16.467   PSNR_HR 15.474 
Iteration 00050    PSNR_LR 16.610   PSNR_HR 15.600 
Iteration 00051    PSNR_LR 16.743   PSNR_HR 15.711 
Iteration 00052    PSNR_LR 16.812   PSNR_HR 15.763 
Iteration 00053    PSNR_LR 16.767   PSNR_HR 15.732 
Iteration 00054    PSNR_LR 17.121   PSNR_HR 16.005 
Iteration 00055    PSNR_LR 17.200   PSNR_HR 16.062 
Iteration 00056    PSNR_LR 17.392   PSNR_HR 16.227 
Iteration 00057    PSNR_LR 17.242   PSNR_HR 16.100 
Iteration 00058    PSNR_LR 17.313   PSNR_HR 16.155 
Iteration 00059    PSNR_LR 17.401   PSNR_HR 16.234 
Iteration 00060    PSNR_LR 17.410   PSNR_HR 16.243 
Iteration 00061    PSNR_LR 17.725   PSNR_HR 16.481 
Iteration 00062    PSNR_LR 17.585   PSNR_HR 16.369 
Iteration 00063    PSNR_LR 17.811   PSNR_HR 16.547 
Iteration 00064    PSNR_LR 18.017   PSNR_HR 16.711 
Iteration 00065    PSNR_LR 17.939   PSNR_HR 16.639 
Iteration 00066    PSNR_LR 18.080   PSNR_HR 16.767 
Iteration 00067    PSNR_LR 18.090   PSNR_HR 16.762 
Iteration 00068    PSNR_LR 18.053   PSNR_HR 16.722 
Iteration 00069    PSNR_LR 18.224   PSNR_HR 16.884 
Iteration 00070    PSNR_LR 18.418   PSNR_HR 16.993 
Iteration 00071    PSNR_LR 18.481   PSNR_HR 17.049 
Iteration 00072    PSNR_LR 18.570   PSNR_HR 17.149 
Iteration 00073    PSNR_LR 18.715   PSNR_HR 17.240 
Iteration 00074    PSNR_LR 18.447   PSNR_HR 17.012 
Iteration 00075    PSNR_LR 18.778   PSNR_HR 17.277 
Iteration 00076    PSNR_LR 18.985   PSNR_HR 17.438 
Iteration 00077    PSNR_LR 19.010   PSNR_HR 17.439 
Iteration 00078    PSNR_LR 18.978   PSNR_HR 17.408 
Iteration 00079    PSNR_LR 19.202   PSNR_HR 17.599 
Iteration 00080    PSNR_LR 19.207   PSNR_HR 17.611 
Iteration 00081    PSNR_LR 19.089   PSNR_HR 17.500 
Iteration 00082    PSNR_LR 18.879   PSNR_HR 17.352 
Iteration 00083    PSNR_LR 18.854   PSNR_HR 17.362 
Iteration 00084    PSNR_LR 19.086   PSNR_HR 17.538 
Iteration 00085    PSNR_LR 19.257   PSNR_HR 17.656 
Iteration 00086    PSNR_LR 19.411   PSNR_HR 17.744 
Iteration 00087    PSNR_LR 19.200   PSNR_HR 17.588 
Iteration 00088    PSNR_LR 19.425   PSNR_HR 17.772 
Iteration 00089    PSNR_LR 19.423   PSNR_HR 17.752 
Iteration 00090    PSNR_LR 19.609   PSNR_HR 17.863 
Iteration 00091    PSNR_LR 19.694   PSNR_HR 17.914 
Iteration 00092    PSNR_LR 19.739   PSNR_HR 17.956 
Iteration 00093    PSNR_LR 20.051   PSNR_HR 18.157 
Iteration 00094    PSNR_LR 19.883   PSNR_HR 18.073 
Iteration 00095    PSNR_LR 19.967   PSNR_HR 18.103 
Iteration 00096    PSNR_LR 19.427   PSNR_HR 17.764 
Iteration 00097    PSNR_LR 18.633   PSNR_HR 17.124 
Iteration 00098    PSNR_LR 19.944   PSNR_HR 18.118 
Iteration 00099    PSNR_LR 19.637   PSNR_HR 17.939 
Iteration 00100    PSNR_LR 20.113   PSNR_HR 18.259 
Iteration 00101    PSNR_LR 19.940   PSNR_HR 18.087 
Iteration 00102    PSNR_LR 20.062   PSNR_HR 18.183 
Iteration 00103    PSNR_LR 20.238   PSNR_HR 18.330 
Iteration 00104    PSNR_LR 20.146   PSNR_HR 18.301 
Iteration 00105    PSNR_LR 20.389   PSNR_HR 18.455 
Iteration 00106    PSNR_LR 20.618   PSNR_HR 18.570 
Iteration 00107    PSNR_LR 20.511   PSNR_HR 18.524 
Iteration 00108    PSNR_LR 20.513   PSNR_HR 18.521 
Iteration 00109    PSNR_LR 20.517   PSNR_HR 18.556 
Iteration 00110    PSNR_LR 20.669   PSNR_HR 18.662 
Iteration 00111    PSNR_LR 20.578   PSNR_HR 18.579 
Iteration 00112    PSNR_LR 20.778   PSNR_HR 18.669 
Iteration 00113    PSNR_LR 20.685   PSNR_HR 18.616 
Iteration 00114    PSNR_LR 20.783   PSNR_HR 18.707 
Iteration 00115    PSNR_LR 20.826   PSNR_HR 18.689 
Iteration 00116    PSNR_LR 20.692   PSNR_HR 18.600 
Iteration 00117    PSNR_LR 20.677   PSNR_HR 18.594 
Iteration 00118    PSNR_LR 20.916   PSNR_HR 18.768 
Iteration 00119    PSNR_LR 20.990   PSNR_HR 18.820 
Iteration 00120    PSNR_LR 20.969   PSNR_HR 18.806 
Iteration 00121    PSNR_LR 21.128   PSNR_HR 18.884 
Iteration 00122    PSNR_LR 21.055   PSNR_HR 18.868 
Iteration 00123    PSNR_LR 20.967   PSNR_HR 18.798 
Iteration 00124    PSNR_LR 21.179   PSNR_HR 18.911 
Iteration 00125    PSNR_LR 21.199   PSNR_HR 18.967 
Iteration 00126    PSNR_LR 21.203   PSNR_HR 19.006 
Iteration 00127    PSNR_LR 21.378   PSNR_HR 19.098 
Iteration 00128    PSNR_LR 21.268   PSNR_HR 18.990 
Iteration 00129    PSNR_LR 21.320   PSNR_HR 19.025 
Iteration 00130    PSNR_LR 21.273   PSNR_HR 19.031 
Iteration 00131    PSNR_LR 21.430   PSNR_HR 19.124 
Iteration 00132    PSNR_LR 21.407   PSNR_HR 19.057 
Iteration 00133    PSNR_LR 21.575   PSNR_HR 19.187 
Iteration 00134    PSNR_LR 21.535   PSNR_HR 19.148 
Iteration 00135    PSNR_LR 21.513   PSNR_HR 19.131 
Iteration 00136    PSNR_LR 21.461   PSNR_HR 19.121 
Iteration 00137    PSNR_LR 21.307   PSNR_HR 19.007 
Iteration 00138    PSNR_LR 21.359   PSNR_HR 19.153 
Iteration 00139    PSNR_LR 21.583   PSNR_HR 19.267 
Iteration 00140    PSNR_LR 21.506   PSNR_HR 19.183 
Iteration 00141    PSNR_LR 21.474   PSNR_HR 19.156 
Iteration 00142    PSNR_LR 21.416   PSNR_HR 19.170 
Iteration 00143    PSNR_LR 21.651   PSNR_HR 19.252 
Iteration 00144    PSNR_LR 21.352   PSNR_HR 19.067 
Iteration 00145    PSNR_LR 20.776   PSNR_HR 18.820 
Iteration 00146    PSNR_LR 21.334   PSNR_HR 19.157 
Iteration 00147    PSNR_LR 21.579   PSNR_HR 19.279 
Iteration 00148    PSNR_LR 21.481   PSNR_HR 19.219 
Iteration 00149    PSNR_LR 21.698   PSNR_HR 19.305 
Iteration 00150    PSNR_LR 21.428   PSNR_HR 19.108 
Iteration 00151    PSNR_LR 21.704   PSNR_HR 19.303 
Iteration 00152    PSNR_LR 22.056   PSNR_HR 19.565 
Iteration 00153    PSNR_LR 21.901   PSNR_HR 19.476 
Iteration 00154    PSNR_LR 21.977   PSNR_HR 19.502 
Iteration 00155    PSNR_LR 22.178   PSNR_HR 19.606 
Iteration 00156    PSNR_LR 22.080   PSNR_HR 19.537 
Iteration 00157    PSNR_LR 21.942   PSNR_HR 19.454 
Iteration 00158    PSNR_LR 22.193   PSNR_HR 19.596 
Iteration 00159    PSNR_LR 22.026   PSNR_HR 19.484 
Iteration 00160    PSNR_LR 22.173   PSNR_HR 19.615 
Iteration 00161    PSNR_LR 22.272   PSNR_HR 19.640 
Iteration 00162    PSNR_LR 22.169   PSNR_HR 19.558 
