HR and LR resolutions: (576, 384), (144, 96)
PSNR bicubic: 23.1048   PSNR nearest: 20.8212
Starting optimization with ADAM
Iteration 00000    PSNR_LR 12.754   PSNR_HR 12.271 
Iteration 00001    PSNR_LR 13.182   PSNR_HR 12.665 
Iteration 00002    PSNR_LR 13.509   PSNR_HR 12.966 
Iteration 00003    PSNR_LR 11.683   PSNR_HR 11.304 
Iteration 00004    PSNR_LR 13.847   PSNR_HR 13.260 
Iteration 00005    PSNR_LR 13.774   PSNR_HR 13.195 
Iteration 00006    PSNR_LR 13.893   PSNR_HR 13.300 
Iteration 00007    PSNR_LR 14.157   PSNR_HR 13.532 
Iteration 00008    PSNR_LR 14.383   PSNR_HR 13.729 
Iteration 00009    PSNR_LR 14.514   PSNR_HR 13.845 
Iteration 00010    PSNR_LR 14.685   PSNR_HR 13.996 
Iteration 00011    PSNR_LR 14.935   PSNR_HR 14.218 
Iteration 00012    PSNR_LR 14.903   PSNR_HR 14.193 
Iteration 00013    PSNR_LR 14.933   PSNR_HR 14.221 
Iteration 00014    PSNR_LR 15.050   PSNR_HR 14.325 
Iteration 00015    PSNR_LR 15.125   PSNR_HR 14.385 
Iteration 00016    PSNR_LR 15.109   PSNR_HR 14.370 
Iteration 00017    PSNR_LR 15.175   PSNR_HR 14.421 
Iteration 00018    PSNR_LR 15.285   PSNR_HR 14.516 
Iteration 00019    PSNR_LR 15.336   PSNR_HR 14.557 
Iteration 00020    PSNR_LR 15.334   PSNR_HR 14.556 
Iteration 00021    PSNR_LR 15.370   PSNR_HR 14.586 
Iteration 00022    PSNR_LR 15.392   PSNR_HR 14.603 
Iteration 00023    PSNR_LR 15.423   PSNR_HR 14.631 
Iteration 00024    PSNR_LR 15.445   PSNR_HR 14.650 
Iteration 00025    PSNR_LR 15.471   PSNR_HR 14.671 
Iteration 00026    PSNR_LR 15.489   PSNR_HR 14.685 
Iteration 00027    PSNR_LR 15.442   PSNR_HR 14.649 
Iteration 00028    PSNR_LR 15.453   PSNR_HR 14.656 
Iteration 00029    PSNR_LR 15.572   PSNR_HR 14.759 
Iteration 00030    PSNR_LR 15.533   PSNR_HR 14.724 
Iteration 00031    PSNR_LR 15.592   PSNR_HR 14.775 
Iteration 00032    PSNR_LR 15.599   PSNR_HR 14.780 
Iteration 00033    PSNR_LR 15.519   PSNR_HR 14.713 
Iteration 00034    PSNR_LR 15.645   PSNR_HR 14.818 
Iteration 00035    PSNR_LR 15.635   PSNR_HR 14.809 
Iteration 00036    PSNR_LR 15.637   PSNR_HR 14.810 
Iteration 00037    PSNR_LR 15.755   PSNR_HR 14.909 
Iteration 00038    PSNR_LR 15.846   PSNR_HR 14.986 
Iteration 00039    PSNR_LR 15.739   PSNR_HR 14.899 
Iteration 00040    PSNR_LR 15.673   PSNR_HR 14.841 
Iteration 00041    PSNR_LR 15.855   PSNR_HR 14.994 
Iteration 00042    PSNR_LR 16.043   PSNR_HR 15.147 
Iteration 00043    PSNR_LR 15.992   PSNR_HR 15.104 
Iteration 00044    PSNR_LR 16.064   PSNR_HR 15.165 
Iteration 00045    PSNR_LR 16.147   PSNR_HR 15.230 
Iteration 00046    PSNR_LR 16.129   PSNR_HR 15.217 
Iteration 00047    PSNR_LR 16.248   PSNR_HR 15.313 
Iteration 00048    PSNR_LR 16.204   PSNR_HR 15.278 
Iteration 00049    PSNR_LR 16.234   PSNR_HR 15.303 
Iteration 00050    PSNR_LR 16.261   PSNR_HR 15.321 
Iteration 00051    PSNR_LR 16.328   PSNR_HR 15.373 
Iteration 00052    PSNR_LR 16.359   PSNR_HR 15.405 
Iteration 00053    PSNR_LR 16.484   PSNR_HR 15.495 
Iteration 00054    PSNR_LR 16.426   PSNR_HR 15.447 
Iteration 00055    PSNR_LR 16.521   PSNR_HR 15.535 
Iteration 00056    PSNR_LR 16.615   PSNR_HR 15.598 
Iteration 00057    PSNR_LR 16.397   PSNR_HR 15.408 
Iteration 00058    PSNR_LR 16.496   PSNR_HR 15.520 
Iteration 00059    PSNR_LR 16.505   PSNR_HR 15.529 
Iteration 00060    PSNR_LR 16.774   PSNR_HR 15.736 
Iteration 00061    PSNR_LR 16.735   PSNR_HR 15.693 
Iteration 00062    PSNR_LR 16.930   PSNR_HR 15.839 
Iteration 00063    PSNR_LR 16.975   PSNR_HR 15.881 
Iteration 00064    PSNR_LR 17.091   PSNR_HR 15.975 
Iteration 00065    PSNR_LR 17.001   PSNR_HR 15.914 
Iteration 00066    PSNR_LR 17.319   PSNR_HR 16.150 
Iteration 00067    PSNR_LR 17.341   PSNR_HR 16.159 
Iteration 00068    PSNR_LR 17.550   PSNR_HR 16.333 
Iteration 00069    PSNR_LR 17.551   PSNR_HR 16.354 
Iteration 00070    PSNR_LR 17.644   PSNR_HR 16.412 
Iteration 00071    PSNR_LR 17.610   PSNR_HR 16.362 
Iteration 00072    PSNR_LR 17.711   PSNR_HR 16.470 
Iteration 00073    PSNR_LR 17.915   PSNR_HR 16.623 
Iteration 00074    PSNR_LR 18.060   PSNR_HR 16.743 
Iteration 00075    PSNR_LR 18.198   PSNR_HR 16.835 
Iteration 00076    PSNR_LR 18.131   PSNR_HR 16.781 
Iteration 00077    PSNR_LR 18.258   PSNR_HR 16.880 
Iteration 00078    PSNR_LR 18.324   PSNR_HR 16.911 
Iteration 00079    PSNR_LR 18.362   PSNR_HR 16.967 
Iteration 00080    PSNR_LR 18.517   PSNR_HR 17.078 
Iteration 00081    PSNR_LR 18.587   PSNR_HR 17.109 
Iteration 00082    PSNR_LR 18.559   PSNR_HR 17.121 
Iteration 00083    PSNR_LR 18.930   PSNR_HR 17.377 
Iteration 00084    PSNR_LR 18.857   PSNR_HR 17.319 
Iteration 00085    PSNR_LR 19.138   PSNR_HR 17.536 
Iteration 00086    PSNR_LR 18.931   PSNR_HR 17.391 
Iteration 00087    PSNR_LR 18.996   PSNR_HR 17.396 
